kol_video_id,kol_title,kol_views,kol_likes,kol_comments,kol_video_url,,,
7484069467761280000 ,Puse a prueba los audífonos de miniso qué traducen muchos idiomas para poder entender cualquier idioma #pongamosloaprueba #audifonos #verdadomentira ,4481307,410158,1898,https://www.tiktok.com/@Pongámoslo a Prueba/video/7484069467761282310,,,
7483211004214660000 ,"Best Home Audio Speaker | JBL Bar 500 Unboxing | Sleek Design, Powerful Sound! 🔊🎶🍿 . . . #musica #movie #game #audio #song #unboxing #bluetoothspeaker #jbl #fyp #viralvideo #asmr #usa🇺🇸 #unitedstates #foryoupage #trending ",4288288,56618,1140,https://www.tiktok.com/@9T4 DUSTIN/video/7483211004214660382,,,
7482801836462800000 ,"JBL PartyBox Ultimate Sound Test: Power, Bass & Clarity Unleashed! #portablespeaker #jblaudio #bluetoothspeaker #audio #foryoupage #trending #fyp ",4221926,75481,2213,https://www.tiktok.com/@9T4 DUSTIN/video/7482801836462804255,,,
7488179272599780000 ,"🚀 The First MINISO IP Pop-Up Store in Indonesia! 🚀   Big news, Indonesia! 🎉 Your favorite IPs are coming together for an exclusive MINISO pop-up event—ONLY for 10 DAYS! ⏳  Discover exclusive collectibles, adorable merch, and special surprises—all in one place!   📍 Location: Mall Summarecon Kelapa Gading, Jakarta, Indonesia   📅 Time: April 3-13, 2025   #miniso #disney #sanrio #harrypotter #gift #ne",4061622,9646,184,https://www.tiktok.com/@Miniso Official/video/7488179272599784747,,,
7452879016983310000 ,Definitely like a magic dark spot eraser. ,3945647,150855,273,https://www.tiktok.com/@Drakeyiana/video/7452879016983317803,,,
7472315807779830000 ,Emang Bolee..??#minisoindonesiaperfume #Mypedebooster #miniso  @minisoshopid @Miniso Official ,3854871,62983,984,https://www.tiktok.com/@Ramdany Eka3/video/7472315807779835141,,,
7489537898379790000 ,MINISO has everything stitch! 💙 #myminisousa #miniso #stitch #stitchlover #stitchfan #stitchfinds #liloandstitch #stitchandangel #stitchcollection #stitchcollector #stitchdisney #stitchshopping #minisostitch #minisofinds #stitchlovers #paratii #paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii #muñeco #regalos #peluche #fypシ #stitchgifts ,3767835,371727,3090,https://www.tiktok.com/@Analih Solis/video/7489537898379791662,,,
7432046724564240000 ,Check the 🔗 in bio! These are aweosme ❤️ @soundcore by Anker #soundcorec40i#soundcore#earbuds #openear#openearbuds,3755423,36916,355,https://www.tiktok.com/@Best Online Finds/video/7432046724564241697,,,
7455725095437450000 ,The Ultimate Portable Party Speaker with Wireless Mics | JBL PartyBox Encore Sound Testing 🎤🔊 . . #foryoupage #asmr #fyp #follow #audio #speaker #soundsystem #bluetooth #bluetoothspeaker #bass #portablespeaker #sound #unboxing #viralvideo #fy ,3746966,49695,2659,https://www.tiktok.com/@POLIN/video/7455725095437454638,,,
7442465598606470000 ,I love music and having speakers on bkth ends of the house is perfect! #speakers #cyboris #wireless #bluetooth #waterproof #loud #music #bass #fyp #AD #foru #tiktokshopblackfriday #tiktokshopcybermonday #TikTokShop #tiktokblackfriday ,3738236,86567,452,https://www.tiktok.com/@Andy Wilkerson/video/7442465598606478622,,,
7449750347914000000 ,for all loungewear girl!!the perfect affordable matching set🧸#loungewear #loungewearstyle #loungewearset #comfyclothes #homeoutfits #shortswithpockets #pyjama #2pieceset #twopieceset #dealsfordays #tshirts #customized #2pieceset #toocute #TikTokShop #LearnOnTikTok #customoutfits #fashiontiktok #matchingpjs #mothersday #tiktokshopmothersday #bodysuit #shapewear #outfit #tiktokshopbacktoschool #spot,3699807,72994,264,https://www.tiktok.com/@Olivia/video/7449750347914005802,,,
7452273594576450000 ,You should experience the convenience of wireless ,3555215,3503,90,https://www.tiktok.com/@OTTOCAST US/video/7452273594576457006,,,
7483170147302280000 ,"#ad Okay, this is cool: #AdobeSummit digital tickets are 100% free this year for marketers (link in my bio for your ~convenience~). This is my third run with @Adobe because, uh, I'm bad at Al and they keep teaching me things that've been wildly helpful. And who doesn't love free education? Grab a ticket so you can impress your boss with all this learning. #AdobePartner",3462263,5010,16,https://www.tiktok.com/@Jack Appleby | Social Strategy/video/7483170147302280494,,,
7485526686071540000 ,BUYING EVERYTHING MY 5 YEAR-OLD SISTER TOUCHES AT MINISO (Part 2) 🥹🧸💕 I love spoiling her. 😫❤️ #fyp #foryou #miniso #sister @MINISO United States ,3422150,249310,2322,https://www.tiktok.com/@Veronica Van💫💕/video/7485526686071541034,,,
7481840672580910000 ,#miamistad #camigrwm🍡 #mascarillas #mymelody💗 #hellokitty #miniso ,3402282,53435,366,https://www.tiktok.com/@★彡[ᴡᴏɴʏꜱɪᴛᴀ💕😋]彡★/video/7481840672580914437,,,
7484620465437440000 ,This song 🖤 #black #biketiktok #biketok #fyp #yamaha #r15v3 #rideordie ,3347106,521707,1551,https://www.tiktok.com/@AJ/video/7484620465437445392,,,
7491359207720040000 ,JBL PartyBox Encore Portable Karaoke Bluetooth Speaker with Wireless Mic. #audio #bluetoothspeaker #jbl #bluetoothspeaker #fyp #microphone #asmr #usa #unitedstates #viral ,3321237,36705,1714,https://www.tiktok.com/@9T4 DUSTIN/video/7491359207720045855,,,
7483897382736890000 ,Bluetooth speakerTV#GEDI #Bluetooth #speaker #jblgreekout #factory #fypシ゚viral #JBL #BIuetooth ,3290824,43760,1477,https://www.tiktok.com/@Candy Lin/video/7483897382736891167,,,
7442821322071310000 ,Always on the go with my @Bose open earbuds! ,3236951,226001,1517,https://www.tiktok.com/@Big Mama/video/7442821322071313710,,,
7461292394357590000 ,The JBL PartyBox Ultimate speaker Protective Cover | PartyCover Ultimate  . . . #jbl #partybox #bluetooth #cover #viralvideo #asmr #bluetoothspeaker #audio #unitedstates #usa_tiktok ,3228119,78156,1487,https://www.tiktok.com/@POLIN/video/7461292394357591338,,,
