selfkoc_post_url,Likes,Comments,Shares,Post Date,selfkoc_account,video_id
https://www.tiktok.com/@lucky.ley6/video/7490408091444350239,5,0,1,,@lucky.ley6,7490408091444350239
https://www.tiktok.com/@lucky.ley6/video/7490398076134280478,14,0,0,,@lucky.ley6,7490398076134280478
https://www.tiktok.com/@lucky.ley6/video/7490387019965713695,6,0,0,,@lucky.ley6,7490387019965713695
https://www.tiktok.com/@maesftuijv6/video/7490389891994357022,17,0,1,,@maesftuijv6,7490389891994357022
https://www.tiktok.com/@schechter.denney/video/7490389854782639406,0,0,0,,@schechter.denney,7490389854782639406
https://www.tiktok.com/@lf6ai8wvknt/video/7490389928321223982,4,1,0,,@lf6ai8wvknt,7490389928321223982
https://www.tiktok.com/@hunterezkj8/video/7490389898483076383,44,0,6,,@hunterezkj8,7490389898483076383
https://www.tiktok.com/@leesan007/video/7490564344976018718,5,0,1,,@leesan007,7490564344976018718
https://www.tiktok.com/@marleycampbell5/video/7490564264852311339,5,0,0,,@marleycampbell5,7490564264852311339
https://www.tiktok.com/@sagehall0/video/7490564347047988523,4,0,0,,@sagehall0,7490564347047988523
https://www.tiktok.com/@sagehall0/video/7490237698716831019,22,2,2,,@sagehall0,7490237698716831019
https://www.tiktok.com/@sagehall0/video/7489882170450971950,21,0,3,,@sagehall0,7489882170450971950
https://www.tiktok.com/@marleycampbell5/video/7490237699056782638,30,0,2,,@marleycampbell5,7490237699056782638
https://www.tiktok.com/@marleycampbell5/video/7489882405428383019,0,0,0,,@marleycampbell5,7489882405428383019
https://www.tiktok.com/@nellietucker0/video/7490237762906574126,6,0,1,,@nellietucker0,7490237762906574126
https://www.tiktok.com/@nellietucker0/video/7489880948855803182,2,0,0,,@nellietucker0,7489880948855803182
https://www.tiktok.com/@raynesosa/video/7490237681423732010,2,0,1,,@raynesosa,7490237681423732010
https://www.tiktok.com/@raynesosa/video/7489882174779362602,38,0,0,,@raynesosa,7489882174779362602
https://www.tiktok.com/@leesan007/video/7490237784871947551,0,0,0,,@leesan007,7490237784871947551
https://www.tiktok.com/@leesan007/video/7489882386910432542,0,0,0,,@leesan007,7489882386910432542
https://www.tiktok.com/@hunterezkj8/video/7490210906299714847,14,0,1,,@hunterezkj8,7490210906299714847
https://www.tiktok.com/@lf6ai8wvknt/video/7490210700413979946,54,2,11,,@lf6ai8wvknt,7490210700413979946
https://www.tiktok.com/@schechter.denney/video/7490210670051626286,14,0,0,,@schechter.denney,7490210670051626286
https://www.tiktok.com/@maesftuijv6/video/7490210763861216543,55,1,1,,@maesftuijv6,7490210763861216543
https://www.tiktok.com/@lucky.ley6/video/7489891674236177694,18,2,1,,@lucky.ley6,7489891674236177694
https://www.tiktok.com/@lucky.ley6/video/7489888576012963103,6,0,1,,@lucky.ley6,7489888576012963103
https://www.tiktok.com/@twi662/video/7490210854726634798,7,1,1,,@twi662,7490210854726634798
https://www.tiktok.com/@hunterezkj8/video/7489825076070681886,1,0,0,,@hunterezkj8,7489825076070681886
https://www.tiktok.com/@lf6ai8wvknt/video/7489469113765481774,46600,299,6512,,@lf6ai8wvknt,7489469113765481774
https://www.tiktok.com/@schechter.denney/video/7489468982324481326,23,0,2,,@schechter.denney,7489468982324481326
https://www.tiktok.com/@maesftuijv6/video/7489469078210465055,12,1,5,,@maesftuijv6,7489469078210465055
https://www.tiktok.com/@lucky.ley6/video/7489467170913635614,28,0,0,,@lucky.ley6,7489467170913635614
https://www.tiktok.com/@lucky.ley6/video/7489460710431264030,26,0,2,,@lucky.ley6,7489460710431264030
https://www.tiktok.com/@twi662/video/7489469215569612074,9,0,1,,@twi662,7489469215569612074
https://www.tiktok.com/@sagehall0/video/7489120924088683819,48,0,7,,@sagehall0,7489120924088683819
https://www.tiktok.com/@marleycampbell5/video/7489120930153712939,15,0,2,,@marleycampbell5,7489120930153712939
https://www.tiktok.com/@nellietucker0/video/7489121589737508142,2,0,0,,@nellietucker0,7489121589737508142
https://www.tiktok.com/@raynesosa/video/7489120884775521578,44,1,2,,@raynesosa,7489120884775521578
https://www.tiktok.com/@leesan007/video/7489120878387645726,24,0,5,,@leesan007,7489120878387645726
https://www.tiktok.com/@hunterezkj8/video/7489101117746400542,27,0,3,,@hunterezkj8,7489101117746400542
https://www.tiktok.com/@lf6ai8wvknt/video/7489101154136198443,24,3,7,,@lf6ai8wvknt,7489101154136198443
https://www.tiktok.com/@schechter.denney/video/7489101173841382702,10,1,0,,@schechter.denney,7489101173841382702
https://www.tiktok.com/@maesftuijv6/video/7489101089740950814,8,1,2,,@maesftuijv6,7489101089740950814
https://www.tiktok.com/@lucky.ley6/video/7489116188480425247,12,0,2,,@lucky.ley6,7489116188480425247
https://www.tiktok.com/@lucky.ley6/video/7488898128792325406,12,0,3,,@lucky.ley6,7488898128792325406
https://www.tiktok.com/@twi662/video/7488951312403582254,15,1,1,,@twi662,7488951312403582254
https://www.tiktok.com/@sagehall0/video/7488704134024154414,16,0,2,,@sagehall0,7488704134024154414
https://www.tiktok.com/@marleycampbell5/video/7488704168132381998,19,0,1,,@marleycampbell5,7488704168132381998
https://www.tiktok.com/@nellietucker0/video/7488704247622683950,8,0,0,,@nellietucker0,7488704247622683950
https://www.tiktok.com/@raynesosa/video/7488710254700645674,0,0,0,,@raynesosa,7488710254700645674
https://www.tiktok.com/@leesan007/video/7488704162469858590,47,0,4,,@leesan007,7488704162469858590
https://www.tiktok.com/@hunterezkj8/video/7488741989324836126,19,0,7,,@hunterezkj8,7488741989324836126
https://www.tiktok.com/@lf6ai8wvknt/video/7488741966377880878,39,1,9,,@lf6ai8wvknt,7488741966377880878
https://www.tiktok.com/@schechter.denney/video/7488741926091558186,22,1,0,,@schechter.denney,7488741926091558186
https://www.tiktok.com/@maesftuijv6/video/7488741995670801694,4,3,0,,@maesftuijv6,7488741995670801694
https://www.tiktok.com/@lucky.ley6/video/7488729283628649759,26,0,3,,@lucky.ley6,7488729283628649759
https://www.tiktok.com/@lucky.ley6/video/7488526332826029342,34,0,1,,@lucky.ley6,7488526332826029342
https://www.tiktok.com/@twi662/video/7488742031427112234,6,0,0,,@twi662,7488742031427112234
https://www.tiktok.com/@sagehall0/video/7488378213127703854,11,0,0,,@sagehall0,7488378213127703854
https://www.tiktok.com/@marleycampbell5/video/7488378105619402030,41,0,4,,@marleycampbell5,7488378105619402030
https://www.tiktok.com/@nellietucker0/video/7488378169087626539,21,0,3,,@nellietucker0,7488378169087626539
https://www.tiktok.com/@raynesosa/video/7488378130629987626,15,0,2,,@raynesosa,7488378130629987626
https://www.tiktok.com/@leesan007/video/7488378190025526559,43,0,5,,@leesan007,7488378190025526559
