selfkoc_post_url,Likes,Comments,Views,Post Date,selfkoc_account,video_id
https://www.youtube.com//shorts/YfHQHlkA_gA,8,0,426,3/1/2025,@barmanpsicologa,YfHQHlkA_gA
https://www.youtube.com//shorts/RgFLftnqtvI,192,0,15000,2/28/2025,@chelsierinkus,RgFLftnqtvI
https://www.youtube.com//shorts/uNeIYk2A0FU,64,1,10000,2/28/2025,@emilie-s7q,uNeIYk2A0FU
https://www.youtube.com//shorts/IriLhEhMqw4,30,0,1666,2/27/2025,@chelsierinkus,IriLhEhMqw4
https://www.youtube.com//shorts/LPAIYzgH71c,6,0,356,2/27/2025,@emilie-s7q,LPAIYzgH71c
https://www.youtube.com//shorts/1mE_RROZSs4,107,0,14000,2/27/2025,@alpechahunter,1mE_RROZSs4
https://www.youtube.com//shorts/RSLffo8Q-WY,133,0,16000,2/27/2025,@haydeeprovazek,RSLffo8Q-WY
https://www.youtube.com//shorts/oqpov8t3z5Y,14,1,2468,2/27/2025,@baobo-k6h,oqpov8t3z5Y
https://www.youtube.com//shorts/e5MuKry-o9Y,145,0,15000,2/27/2025,@annunziata-y6u,e5MuKry-o9Y
https://www.youtube.com//shorts/coTcqtpnQTE,87,0,15000,2/27/2025,@venicialolol,coTcqtpnQTE
https://www.youtube.com//shorts/Q_WnEw-EPpk,5,0,426,2/27/2025,@barmanpsicologa,Q_WnEw-EPpk
https://www.youtube.com//shorts/O1ia5nR-B1Y,6,0,661,2/26/2025,@chelsierinkus,O1ia5nR-B1Y
https://www.youtube.com//shorts/L-BXJ8fXW-Q,178,0,17000,2/26/2025,@emilie-s7q,L-BXJ8fXW-Q
https://www.youtube.com//shorts/clR49ZPJ2ac,383,0,15000,2/26/2025,@alpechahunter,clR49ZPJ2ac
https://www.youtube.com//shorts/5_AZUIj-DLw,119,1,13000,2/26/2025,@haydeeprovazek,5_AZUIj-DLw
https://www.youtube.com//shorts/Xcv4E7cJHtA,113,8,16000,2/26/2025,@baobo-k6h,Xcv4E7cJHtA
https://www.youtube.com//shorts/-xk2SiPZkjY,176,0,16000,2/26/2025,@annunziata-y6u,#NAME?
https://www.youtube.com//shorts/YD2gGEp_V4Q,179,1,15000,2/26/2025,@venicialolol,YD2gGEp_V4Q
https://www.youtube.com//shorts/MM7t2Ac_e4w,12,0,493,2/26/2025,@barmanpsicologa,MM7t2Ac_e4w
https://www.youtube.com//shorts/d56brD1sv7k,210,0,15000,2/25/2025,@alpechahunter,d56brD1sv7k
https://www.youtube.com//shorts/mxwuWpfIlN0,212,0,14000,2/25/2025,@haydeeprovazek,mxwuWpfIlN0
https://www.youtube.com//shorts/vIUyoLEupAA,179,14,13000,2/25/2025,@baobo-k6h,vIUyoLEupAA
https://www.youtube.com//shorts/v9EYssEeWn4,187,0,19000,2/25/2025,@annunziata-y6u,v9EYssEeWn4
https://www.youtube.com//shorts/xUFMnLD0_l0,129,6,15000,2/25/2025,@venicialolol,xUFMnLD0_l0
https://www.youtube.com//shorts/uyDltAKlTGg,13,0,628,2/25/2025,@barmanpsicologa,uyDltAKlTGg
https://www.youtube.com//shorts/bOXyyCLlh-E,416,1,14000,2/24/2025,@chelsierinkus,bOXyyCLlh-E
https://www.youtube.com//shorts/WRN6OxowjpQ,8,0,600,2/24/2025,@emilie-s7q,WRN6OxowjpQ
https://www.youtube.com//shorts/Hk8ct31WN3k,242,0,15000,2/24/2025,@alpechahunter,Hk8ct31WN3k
https://www.youtube.com//shorts/y4eXXHsd6fI,120,0,12000,2/24/2025,@haydeeprovazek,y4eXXHsd6fI
https://www.youtube.com//shorts/wzKnKWq_x54,191,1,17000,2/24/2025,@baobo-k6h,wzKnKWq_x54
https://www.youtube.com//shorts/mucwNgtnwY8,137,1,15000,2/24/2025,@annunziata-y6u,mucwNgtnwY8
https://www.youtube.com//shorts/tuGcQV_ccIk,148,2,14000,2/24/2025,@venicialolol,tuGcQV_ccIk
https://www.youtube.com//shorts/wbpZnC15IBc,202,0,16000,2/24/2025,@barmanpsicologa,wbpZnC15IBc
https://www.youtube.com//shorts/ln5JGjkOUuM,3,0,31,2/17/2025,@chelsierinkus,ln5JGjkOUuM
https://www.youtube.com//shorts/m1ftlKo0_Ss,1,0,34,2/17/2025,@emilie-s7q,m1ftlKo0_Ss
https://www.youtube.com//shorts/8K5mNYdu0WU,13,0,559,2/17/2025,@alpechahunter,8K5mNYdu0WU
https://www.youtube.com//shorts/rJDK962x1Bc,8,0,470,2/17/2025,@haydeeprovazek,rJDK962x1Bc
https://www.youtube.com//shorts/J4iyg0rJYLQ,22,0,2732,2/17/2025,@baobo-k6h,J4iyg0rJYLQ
https://www.youtube.com//shorts/0q1vR1FRZfo,47,0,2741,2/17/2025,@annunziata-y6u,0q1vR1FRZfo
